# results of script local_minima
size_of_hidden_layer,training_error,test_error,number_of_epochs,training_time
30,0.03420001268386841,0.18101537227630615,91,57.74507522583008
40,0.026000022888183594,0.16335386037826538,67,43.89082980155945
5,0.09460002183914185,0.20835381746292114,96,56.948023557662964
10,0.03680002689361572,0.17761540412902832,83,51.19838809967041
20,0.02799999713897705,0.17009228467941284,101,62.819997787475586
30,0.02799999713897705,0.16584616899490356,74,47.45316505432129
40,0.017799973487854004,0.1613384485244751,69,44.97329044342041
5,0.11419999599456787,0.202353835105896,64,39.11900520324707
10,0.06540000438690186,0.17724615335464478,63,39.41315531730652
20,0.033399999141693115,0.1771538257598877,86,54.34034276008606
30,0.026000022888183594,0.16775387525558472,89,56.18812084197998
40,0.03759998083114624,0.17118459939956665,68,44.41389441490173
5,0.14480000734329224,0.22590768337249756,64,39.09522819519043
10,0.09020000696182251,0.20420002937316895,64,40.05725836753845
20,0.021399974822998047,0.1659846305847168,85,52.866355419158936
30,0.08480000495910645,0.18059998750686646,51,33.28553557395935
40,0.008400022983551025,0.16186153888702393,92,59.13207721710205
5,0.11979997158050537,0.19975382089614868,45,27.959755420684814
10,0.07499998807907104,0.18407690525054932,62,38.83334255218506
20,0.032199978828430176,0.17509227991104126,91,56.66275596618652
30,0.01380002498626709,0.16549229621887207,98,61.49025583267212
40,0.008199989795684814,0.16343075037002563,121,76.82325553894043
5,0.09759998321533203,0.19661539793014526,67,40.735859394073486
10,0.04339998960494995,0.18000000715255737,98,59.91154193878174
20,0.052799999713897705,0.17419999837875366,76,47.7028169631958
30,0.027599990367889404,0.16333848237991333,70,44.839821577072144
40,0.029799997806549072,0.16446155309677124,78,50.38715887069702
5,0.09859997034072876,0.20384615659713745,70,42.406476736068726
10,0.07120001316070557,0.19516921043395996,69,42.90850210189819
20,0.029399991035461426,0.16850769519805908,83,52.04565143585205
30,0.04079997539520264,0.1731230616569519,75,48.02419090270996
40,0.00279998779296875,0.1593846082687378,108,69.15943741798401
5,0.12559998035430908,0.21513843536376953,54,33.35569643974304
10,0.058399975299835205,0.1788615584373474,68,42.38363552093506
20,0.0666000247001648,0.18272310495376587,53,34.18756031990051
30,0.03140002489089966,0.1639077067375183,72,45.98377346992493
40,0.04799997806549072,0.17164617776870728,61,40.55333232879639
5,0.0835999846458435,0.19618463516235352,79,47.67465162277222
10,0.03960001468658447,0.18152308464050293,94,57.94310116767883
20,0.04680001735687256,0.16676920652389526,60,38.639639377593994
30,0.022599995136260986,0.1675538420677185,83,52.78526282310486
40,0.013000011444091797,0.1615692377090454,86,55.8489556312561
5,0.1438000202178955,0.23035383224487305,76,45.942689418792725
10,0.06300002336502075,0.18392306566238403,73,83.98861765861511
20,0.04220002889633179,0.17903077602386475,88,54.53743100166321
30,0.02240002155303955,0.16306155920028687,91,58.43982696533203
40,0.008400022983551025,0.15955382585525513,94,60.700655698776245
5,0.15399998426437378,0.23640000820159912,65,39.5703649520874
10,0.05019998550415039,0.17296922206878662,76,46.814507484436035
20,0.05140000581741333,0.17016923427581787,72,45.59219479560852
30,0.040199995040893555,0.16315382719039917,62,40.5033233165741
40,0.037199974060058594,0.16564613580703735,63,41.306920528411865
5,0.17739999294281006,0.25590771436691284,53,32.97116494178772
10,0.06459999084472656,0.1801999807357788,73,45.16173338890076
20,0.07039999961853027,0.1820923089981079,62,39.45096778869629
30,0.021799981594085693,0.169061541557312,84,53.17516589164734
40,0.021000027656555176,0.16846156120300293,86,55.72623133659363
5,0.09460002183914185,0.2021999955177307,94,56.1601996421814
10,0.045400023460388184,0.17896920442581177,87,53.540367603302
20,0.021399974822998047,0.17246150970458984,96,60.02433133125305
30,0.034600019454956055,0.18023079633712769,89,56.47162914276123
40,0.015999972820281982,0.15936923027038574,83,53.79678010940552
5,0.19819998741149902,0.2570769190788269,54,33.6118597984314
10,0.06419998407363892,0.17555385828018188,61,38.547733306884766
20,0.04960000514984131,0.17050766944885254,74,47.495973348617554
30,0.027800023555755615,0.16836923360824585,77,49.43649768829346
40,0.030399978160858154,0.15826153755187988,61,40.33024311065674
5,0.1021999716758728,0.19393843412399292,63,38.85225868225098
10,0.09299999475479126,0.19913846254348755,72,45.08987283706665
20,0.025799989700317383,0.17390769720077515,88,55.16619873046875
30,0.013000011444091797,0.1692153811454773,96,60.591612339019775
40,0.04460000991821289,0.16439998149871826,57,37.83768701553345
5,0.12959998846054077,0.22196924686431885,66,40.488234996795654
10,0.051599979400634766,0.18467694520950317,85,52.714099407196045
20,0.05320000648498535,0.17941540479660034,71,45.24730181694031
